merchant_id,domain,feed_url,feed_type,item_count,validated_at,last_http_status,sample_item_url,sample_item_title,validation_error
00303349-5b1a-53c3-a6d8-921e67fb099ea6c36058,prgz15-wh.myshopify.com,https://prgz15-wh.myshopify.com/collections/all.atom,atom,9,2026-08-28T16:46:01.564359+00:00,200,https://prgz15-wh.myshopify.com/products/diszitett-betu-bross-bro%C8%99a-in-forma-de-litera-letter-shaped-brooch-copy-1,Asztali díszek| Decor de masă  | Table decoration,
0045eb8a-7871-5ec9-8164-a005323579e9c01c4ec5,skre-gear.myshopify.com,https://skre-gear.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:01.679202+00:00,200,https://skregear.com/products/ridgeline-frame-pack,Ridgeline 5000 Frame Pack,
00485109-023d-49f5-a67c-9e0cff3ef360,0f03uj-mx.myshopify.com,https://0f03uj-mx.myshopify.com/collections/all.atom,atom,24,2026-08-28T16:46:01.852397+00:00,200,https://0f03uj-mx.myshopify.com/products/wide-bottom-matcha-bowl-handmade-set-with-spout-bamboo-whisk-and-chasen-holder-optional-1,Wide bottom Matcha Bowl. Handmade Set with Spout Bamboo Whisk and Chasen Holder optional,
0048fff6-45f1-5077-939c-6bb68c94c722e6e3cdd4,wellrootedteas.myshopify.com,https://wellrootedteas.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:01.973786+00:00,200,https://wellrootedteas.com/products/seasonal-blends-subscription,Seasonal Blends Subscription,
00348450-5bbb-536b-9930-5895af4a9d5be4a38b28,1800gifters.myshopify.com,https://1800gifters.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:02.051833+00:00,200,https://bloomingful.com/products/dried-bunny-tails-light-pink-115,Bunny Tails - Pink (115),
0047bd-e3.myshopify.com,0047bd-e3.myshopify.com,https://0047bd-e3.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:02.177091+00:00,200,https://www.whimsysnv.com/products/cub-scouts-cake-topper-official-blue-gold-scout-logo-design-birthday-or-celebration-party-decoration-fits-quarter-sheet-cakes,Cub Scouts Cake Topper – Official Blue & Gold Scout Logo Design – Birthday or Celebration Party Decoration – Fits Quarter Sheet Cakes,
004ca813-c7fc-53e9-9e64-b4e043d9668c51e71be0,art-spiel-store.myshopify.com,https://art-spiel-store.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:02.185030+00:00,200,https://art-spiel-store.myshopify.com/products/loren-eiferman-xylem,Loren Eiferman - Xylem,
003ea673-a54d-5aea-b3ec-6f7b5176a8323fba7263,chris-king-precision-components.myshopify.com,https://chris-king-precision-components.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:02.207628+00:00,200,https://chrisking.com/products/artist-series-50th-anniversary-beer-glass,Make Mine a King 50th Anniversary Beer Glass,
0032381d-ce63-5a1d-8185-05e324c802feb8e20e6a,davidessexshop.myshopify.com,https://davidessexshop.myshopify.com/collections/all.atom,atom,23,2026-08-28T16:46:02.257279+00:00,200,https://davidessexshop.myshopify.com/products/brand-new-2027-calendar,BRAND NEW 2027 CALENDAR - PRE ORDER,
00246d-8e.myshopify.com,00246d-8e.myshopify.com,https://00246d-8e.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:02.423033+00:00,200,https://www.olivestack.com/products/ballybunion-castle,Ballybunion Castle Micro Mosaic Pendant,
